title,category,doc_type,source_org,source_url,file_path,tags,downloaded_at,sha256,status,error
GB/T 50326-2017 建设工程项目管理规范,03_standards_specs,国家标准网页,筑当网标准分享,http://www.zhudown.com/gffj/zl/2835.html,03_standards_specs/34_GB_T_50326-2017_建设工程项目管理规范_2d6ba3d5.md,"项目管理,管理规范,施工组织",2026-05-20T03:19:40.471908+00:00,0bcfd52828dec1df5506e062b09bf5bf7d165d6b87779f38f122ae5cc1eded29,downloaded,
GB/T 50319-2013 建设工程监理规范,03_standards_specs,国家标准网页,BIM资源网标准分享,https://www.bimzyw.com/10437.html,03_standards_specs/35_GB_T_50319-2013_建设工程监理规范_8959aeee.md,"工程监理,监理规范,监理旁站",2026-05-20T03:19:40.471908+00:00,240a19613c5d50a8120c332eed43aa24b7161e95947d8e21c692e507451ccc8a,downloaded,
GB 50172-2016 电气装置安装工程蓄电池施工及验收规范,03_standards_specs,国家标准网页,标准网标准分享,https://www.biaozhuns.com/archives/20210214/show-441695-105-1.html,03_standards_specs/36_GB_50172-2016_电气装置安装工程蓄电池施工及验收规范_ea5b4ecb.url.md,"电气安装,蓄电池,施工验收",2026-05-20T03:19:40.471908+00:00,a45dc485eb2143d4a618f142d7b11813d660880ddbeb7dd5f95b0676b98cfcd5,failed_url_saved,HTTPError: HTTP Error 404: Not Found
GB 50254-2014 电气装置安装工程低压电器施工及验收规范,03_standards_specs,国家标准网页,分析测试百科网标准分享,https://www.antpedia.com/standard/5722350-1.html,03_standards_specs/37_GB_50254-2014_电气装置安装工程低压电器施工及验收规范_6758c75b.md,"电气安装,低压电器,施工验收",2026-05-20T03:19:40.471908+00:00,4e6369a10d6026c1cb4054978f5b22afebe77dca96c91b8fb7701238fc60afed,downloaded,
DL/T 596-2021 电力设备预防性试验规程,03_standards_specs,行业标准网页,规范库标准分享,https://www.guifanku.com/912266.html,03_standards_specs/38_DL_T_596-2021_电力设备预防性试验规程_e31a3491.md,"电气设备,预防性试验,试验规程",2026-05-20T03:19:40.471908+00:00,e8397764e00f355a6e1c8602020be2982b0add460fc40c2f730a1eabc73bd665,downloaded,
DL/T 5434-2009 电力建设工程监理规范,03_standards_specs,行业标准网页,标准网标准分享,https://www.biaozhuns.com/archives/20180905/show-278274-105-1.html,03_standards_specs/39_DL_T_5434-2009_电力建设工程监理规范_ab496e68.url.md,"工程监理,监理规范,电力建设",2026-05-20T03:19:40.471908+00:00,82f735e86379165a70957364bc7d831eed806668bc92d78ead07a6ec1563cb93,failed_url_saved,HTTPError: HTTP Error 404: Not Found
DL/T 5161-2018 电气装置安装工程质量检验及评定规程,03_standards_specs,行业标准网页,标准网标准分享,https://www.biaozhuns.com/archives/20200812/show-382903-105-1.html,03_standards_specs/40_DL_T_5161-2018_电气装置安装工程质量检验及评定规程_f5584726.url.md,"电气安装,质量检验,评定规程",2026-05-20T03:19:40.471908+00:00,bd60a4ea9bd5f7386a9d267c769040a90e903de289f6b4b8daff961302a1577b,failed_url_saved,HTTPError: HTTP Error 404: Not Found
DL/T 5210-2021 电力建设施工质量验收及评价规程,03_standards_specs,行业标准网页,标准网标准分享,https://www.biaozhuns.com/archives/20230310/show-526402-105-1.html,03_standards_specs/41_DL_T_5210-2021_电力建设施工质量验收及评价规程_20043cbc.url.md,"电力建设,施工验收,评价规程",2026-05-20T03:19:40.471908+00:00,9de1b407d71f18d22aca93c8e264b0a95157a41e42cb3582067b71fdf9c98628,failed_url_saved,HTTPError: HTTP Error 404: Not Found
DL/T 5220-2021 10kV及以下架空配电线路设计技术规程,03_standards_specs,行业标准网页,标准网标准分享,https://www.biaozhuns.com/archives/20230311/show-526487-105-1.html,03_standards_specs/42_DL_T_5220-2021_10kV及以下架空配电线路设计技术规程_96344376.url.md,"配电线路,架空线路,设计规程",2026-05-20T03:19:40.471908+00:00,04de9b40eae57ded605ac7cc85707491df81ba2c4df0902cc8c90ce4200cc992,failed_url_saved,HTTPError: HTTP Error 404: Not Found
DL/T 5352-2018 高压配电装置设计规范,03_standards_specs,行业标准网页,标准网标准分享,https://www.biaozhuns.com/archives/20210214/show-441676-105-1.html,03_standards_specs/43_DL_T_5352-2018_高压配电装置设计规范_b770ef8b.url.md,"配电装置,高压装置,设计规范",2026-05-20T03:19:40.471908+00:00,de696002e9aeb6e83b2a4422b8bf515e5555d65027bd7fd0bb30fad88ca8507a,failed_url_saved,HTTPError: HTTP Error 404: Not Found
